"","year_Birth","Income","kids","Recency","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp1","Response"
"1",1970,84835,0,0,1,4,4,6,1,0,1
"2",1961,57091,0,0,1,7,3,7,5,1,1
"3",1958,67267,1,0,1,3,2,5,2,0,0
"4",1967,32474,2,0,1,1,0,2,7,0,0
"5",1989,21474,1,0,2,3,1,2,7,1,1
"6",1958,71691,0,0,1,4,7,5,2,0,1
"7",1954,63564,0,0,1,10,10,7,6,1,1
"8",1967,44931,1,0,1,2,1,3,5,0,0
"9",1954,65324,1,0,3,6,2,9,4,0,0
"10",1954,65324,1,0,3,6,2,9,4,0,0
"11",1947,81044,0,0,1,5,6,10,1,0,0
"12",1979,62499,1,0,2,3,1,6,4,0,0
"13",1959,67786,0,0,1,3,6,6,1,0,1
"14",1981,26872,0,0,1,1,1,2,6,0,0
"15",1969,4428,1,0,0,25,0,0,1,0,0
"16",1977,54809,2,0,4,2,1,5,4,0,0
"17",1977,54809,2,0,4,2,1,5,4,0,1
"18",1958,32173,1,0,1,1,0,3,4,0,0
"19",1960,47823,1,0,2,2,0,3,8,0,0
"20",1958,30523,3,0,1,1,0,2,7,0,0
"21",1954,36634,1,0,3,5,2,5,7,0,0
"22",1966,43456,1,0,3,5,1,8,5,0,0
"23",1979,40662,1,0,2,2,1,3,4,0,0
"24",1976,49544,1,0,2,5,1,8,7,0,0
"25",1969,57731,1,0,4,8,8,6,6,0,0
"26",1965,33168,1,0,3,2,1,4,7,0,0
"27",1956,54450,2,0,12,9,2,8,8,0,0
"28",1956,54450,2,0,12,9,2,8,8,0,0
"29",1956,35340,2,1,2,2,0,3,5,0,0
"30",1975,73170,0,1,1,5,4,6,2,0,0
"31",1971,65808,2,1,3,5,1,5,6,0,0
"32",1986,79529,0,1,1,4,8,9,2,0,0
"33",1972,34578,3,1,1,1,0,2,6,0,0
"34",1974,46374,1,1,3,7,1,7,8,2,1
"35",1990,18351,0,1,1,2,0,3,7,0,0
"36",1987,95169,0,1,1,4,3,4,1,2,1
"37",1984,65370,0,1,1,2,3,13,1,0,0
"38",1960,39228,0,1,1,0,0,3,4,0,0
"39",1961,84865,0,1,1,2,4,9,4,4,1
"40",1968,61314,1,1,2,5,5,12,3,0,0
"41",1972,21359,1,1,2,2,0,3,8,0,1
"42",1955,66465,1,1,3,11,9,12,6,1,0
"43",1983,81698,0,1,1,8,2,5,5,1,1
"44",1986,39146,1,1,3,4,0,4,8,0,0
"45",1970,25959,2,1,2,1,2,2,6,0,1
"46",1961,64260,0,1,1,4,5,4,3,0,1
"47",1973,32300,1,1,1,1,0,3,8,0,0
"48",1965,74806,1,1,2,5,4,5,4,0,0
"49",1970,72967,1,1,2,7,2,8,5,1,1
"50",1960,48904,1,1,4,7,2,4,8,0,0
"51",1984,14796,1,1,2,1,0,3,9,0,1
"52",1954,66991,0,1,3,4,8,6,3,0,0
"53",1978,52195,3,2,1,1,0,2,8,0,0
"54",1956,90369,0,2,1,4,6,6,1,0,1
"55",1974,18393,1,2,2,3,0,3,8,0,0
"56",1952,47139,2,2,2,2,1,2,7,0,1
"57",1973,38576,1,2,1,1,0,3,7,0,0
"58",1975,61905,1,2,2,4,2,4,5,0,0
"59",1962,83715,0,2,1,2,8,13,0,0,0
"60",1964,60597,1,2,4,2,2,8,7,1,1
"61",1982,6560,0,2,0,1,0,1,17,0,0
"62",1961,48330,1,2,1,1,0,3,5,0,0
"63",1968,38236,2,2,4,3,0,4,7,0,0
"64",1977,22701,1,2,1,1,0,3,5,0,0
"65",1974,53367,2,2,7,5,1,8,7,0,1
"66",1986,34728,1,2,1,1,1,2,6,0,1
"67",1956,63915,2,2,2,6,3,12,5,0,0
"68",1960,82504,0,2,1,3,6,7,1,0,0
"69",1972,38578,2,2,3,3,0,3,8,0,1
"70",1972,38578,2,2,3,3,0,3,8,0,0
"71",1975,79174,0,2,1,5,6,7,2,2,1
"72",1962,81975,1,2,1,6,3,4,7,1,0
"73",1977,43263,1,2,3,5,2,6,5,0,0
"74",1970,27242,1,2,2,2,0,3,9,0,1
"75",1971,76445,1,2,1,2,5,13,6,0,0
"76",1965,75276,0,2,1,9,4,9,5,0,0
"77",1963,34213,2,2,3,3,1,2,9,0,1
"78",1976,72335,0,2,1,10,4,8,8,0,1
"79",1964,79143,0,2,1,6,9,13,3,0,0
"80",1947,27469,0,2,1,0,0,3,6,0,0
"81",1969,68695,0,3,1,4,4,7,2,0,0
"82",1969,68695,0,3,1,4,4,7,2,0,0
"83",1957,50388,1,3,4,6,1,6,7,2,1
"84",1970,77622,2,3,2,6,3,11,3,0,0
"85",1962,46102,3,3,1,1,0,2,7,0,0
"86",1980,31859,1,3,1,1,0,3,7,0,0
"87",1987,23830,0,3,1,1,0,3,7,0,0
"88",1973,24639,2,3,3,2,0,4,6,0,0
"89",1945,71604,0,3,1,8,3,5,4,1,1
"90",1984,27255,1,3,1,1,0,3,7,0,0
"91",1977,55375,1,3,1,1,1,6,2,0,0
"92",1960,77037,1,3,1,7,7,12,3,0,0
"93",1970,24163,2,3,2,1,0,3,4,0,0
"94",1969,69476,0,3,1,4,6,4,2,0,0
"95",1979,72063,1,3,2,5,2,12,2,0,0
"96",1962,58646,1,3,1,2,1,4,4,0,0
"97",1962,58646,1,3,1,2,1,4,4,0,0
"98",1949,47570,2,3,3,2,2,2,7,0,1
"99",1980,80011,1,3,2,8,6,5,4,0,0
"100",1956,54998,1,3,5,4,2,9,4,0,1
"101",1948,60200,1,3,6,6,2,11,6,0,0
"102",1982,63211,0,3,2,3,8,7,2,0,1
"103",1973,48432,1,3,5,7,1,6,8,0,1
"104",1973,48432,1,3,5,7,1,6,8,0,0
"105",1973,48432,1,3,5,7,1,6,8,0,1
"106",1949,62845,2,3,11,3,4,10,8,1,0
"107",1949,62845,2,3,11,3,4,10,8,1,1
"108",1965,65220,0,3,4,8,4,7,6,0,1
"109",1990,74214,0,3,1,8,2,5,5,0,0
"110",1980,96547,0,4,0,7,6,8,2,3,1
"111",1955,53863,1,4,3,7,1,7,7,1,0
"112",1970,50447,2,4,1,3,1,3,6,0,0
"113",1953,37716,1,4,2,4,1,3,7,0,0
"114",1982,45203,2,4,1,3,1,3,6,0,1
"115",1975,37368,1,4,1,1,0,2,6,1,0
"116",1955,67225,1,4,3,7,2,11,5,0,0
"117",1976,65104,1,4,2,3,5,7,7,0,1
"118",1976,65104,1,4,2,3,5,7,7,0,0
"119",1949,81698,0,4,1,3,8,13,1,0,1
"120",1968,70566,1,4,2,6,5,9,3,0,0
"121",1958,69096,1,4,1,5,2,10,4,0,0
"122",1962,71434,1,4,3,7,4,7,4,2,0
"123",1978,33039,1,4,1,2,0,4,5,0,0
"124",1978,33039,1,4,1,2,0,4,5,0,0
"125",1958,46610,0,4,1,6,1,6,6,0,0
"126",1958,49967,1,4,3,6,1,5,7,0,0
"127",1976,53359,2,4,4,5,1,4,7,0,0
"128",1971,49505,2,4,9,10,2,8,8,0,0
"129",1946,68657,0,4,1,3,5,9,7,0,0
"130",1954,72071,1,4,3,5,4,8,2,0,0
"131",1954,72071,1,4,3,5,4,8,2,0,0
"132",1967,59235,1,4,3,11,2,12,7,0,0
"133",1957,21994,1,4,1,0,0,3,5,0,0
"134",1957,21994,1,4,1,0,0,3,5,0,0
"136",1972,69209,0,4,2,5,3,6,4,1,0
"137",1989,31928,1,5,2,3,0,4,7,0,0
"138",1987,74004,0,5,1,4,6,4,3,2,1
"139",1987,30390,0,5,1,2,0,3,6,0,0
"140",1985,21355,1,5,2,2,1,2,6,1,1
"141",1969,26304,1,5,1,1,0,2,7,0,0
"142",1989,85710,0,5,1,6,9,10,2,1,0
"143",1974,102692,0,5,1,6,9,13,2,4,1
"144",1971,58350,1,5,4,8,3,12,6,0,0
"145",1978,7500,2,5,4,2,1,3,6,0,0
"146",1984,18890,0,5,1,0,1,2,6,1,1
"147",1986,20425,1,5,2,2,0,3,7,0,0
"148",1986,20425,1,5,2,2,0,3,7,0,0
"149",1957,41437,2,5,1,1,0,3,7,0,0
"150",1949,49912,1,5,4,10,5,7,8,1,1
"151",1949,49912,1,5,4,10,5,7,8,1,1
"152",1959,79823,1,6,1,6,9,7,2,1,0
"153",1954,85683,0,6,1,2,4,10,1,4,1
"154",1965,47025,2,6,1,1,0,2,7,0,0
"155",1976,68397,1,6,1,6,9,5,3,0,0
"156",1984,38175,1,6,3,3,1,4,7,0,0
"157",1972,46423,2,6,3,2,0,4,7,0,0
"158",1972,46423,2,6,3,2,0,4,7,0,0
"159",1976,30560,1,6,1,1,0,3,7,0,0
"160",1976,30560,1,6,1,1,0,3,7,0,0
"161",1979,60152,1,6,1,6,4,12,3,0,0
"162",1965,29672,2,6,1,0,0,3,6,0,0
"163",1965,29672,2,6,1,0,0,3,6,0,0
"164",1947,70321,0,6,1,6,5,13,4,0,1
"165",1962,56181,1,6,1,4,2,7,4,0,0
"166",1990,24279,0,6,1,4,1,3,8,0,0
"167",1969,68462,0,6,1,3,3,8,1,0,0
"168",1976,55424,1,6,4,7,5,9,6,1,1
"169",1973,49094,1,6,5,6,3,6,6,0,0
"170",1961,59184,1,6,3,6,6,12,5,0,0
"171",1987,67430,0,6,1,11,5,12,6,0,0
"172",1960,30522,1,6,5,1,2,9,2,0,0
"173",1977,31878,1,7,1,1,0,4,3,0,0
"174",1992,83528,0,7,1,4,10,8,1,2,1
"175",1979,90300,0,7,0,5,6,8,1,1,0
"176",1978,68092,0,7,2,2,6,10,5,0,0
"177",1972,53761,2,7,6,4,4,3,5,0,0
"178",1973,52845,1,7,3,8,8,6,6,1,0
"179",1976,24027,1,7,2,2,0,3,8,0,0
"180",1979,7500,1,7,4,3,2,2,7,0,0
"181",1955,42586,2,7,5,4,1,6,8,0,1
"182",1955,42586,2,7,5,4,1,6,8,0,1
"183",1973,9722,1,7,4,3,1,3,8,0,1
"184",1975,86836,0,7,1,6,10,6,5,3,1
"185",1972,30467,1,8,1,1,0,2,7,0,0
"186",1952,54549,1,8,2,5,1,4,7,0,0
"187",1982,19444,1,8,3,4,1,2,7,0,1
"188",1956,69245,1,8,2,6,5,10,3,0,0
"189",1963,72968,0,8,1,5,5,8,3,1,1
"190",1953,48686,3,8,1,1,0,2,8,0,0
"191",1990,73687,0,8,1,3,9,9,2,1,1
"192",1944,82716,0,8,1,6,8,13,2,0,0
"193",1981,35523,1,8,2,3,0,3,7,0,0
"194",1975,60554,1,8,2,8,4,9,6,0,0
"195",1956,64090,1,8,1,6,9,4,5,0,1
"196",1965,61559,1,8,1,4,2,10,3,0,0
"197",1962,71670,0,8,1,5,3,6,6,3,1
"198",1951,67680,1,8,1,7,3,8,5,0,0
"199",1981,54386,1,8,2,3,2,10,3,0,0
"200",1953,64108,1,8,4,6,9,11,5,0,0
"201",1951,69702,1,8,2,7,7,10,4,0,0
"202",1952,47958,1,8,2,6,3,5,5,0,0
"203",1960,67716,1,8,4,7,4,13,5,1,0
"204",1971,34600,2,8,5,5,2,5,8,0,1
"205",1971,34600,2,8,5,5,2,5,8,0,1
"206",1969,48752,2,8,5,6,1,5,9,0,1
"207",1988,15716,1,8,3,3,0,4,8,0,0
"208",1952,46610,2,8,6,4,1,6,6,0,1
"209",1977,74985,0,8,1,3,6,7,2,0,0
"210",1945,45576,0,9,1,3,1,3,8,0,1
"211",1945,113734,0,9,0,27,0,0,1,0,0
"212",1987,57100,1,9,2,3,2,7,3,0,0
"213",1972,24434,2,9,2,2,1,2,7,0,0
"214",1971,37126,1,9,1,1,2,2,6,1,1
"215",1958,45160,2,9,1,1,0,2,7,0,0
"216",1977,33178,1,9,1,1,0,3,4,0,0
"217",1950,64866,1,9,4,7,3,7,5,1,0
"218",1975,34176,1,9,1,1,0,3,3,0,0
"219",1968,50014,1,9,2,4,1,8,5,0,0
"220",1948,92344,0,9,0,5,10,5,1,2,0
"221",1970,55282,1,9,1,3,1,6,4,0,0
"222",1963,48799,1,9,3,3,2,7,3,0,0
"223",1982,84169,0,9,1,7,6,6,3,2,1
"224",1982,84169,0,9,1,7,6,6,3,2,1
"225",1971,39763,1,9,2,5,1,2,9,0,1
"226",1975,74165,0,9,1,5,4,10,2,0,0
"227",1965,42720,2,9,8,7,3,7,8,0,1
"228",1944,65275,0,9,1,4,3,13,2,0,0
"229",1961,36443,2,9,4,3,1,3,8,0,0
"230",1952,43776,2,9,6,5,2,4,8,0,1
"231",1965,56046,0,9,2,10,1,8,8,1,1
"232",1958,65148,1,9,2,6,6,7,4,0,0
"233",1955,49431,1,9,2,7,1,5,8,0,0
"234",1961,32583,2,10,1,1,0,2,7,0,0
"235",1979,16653,1,10,3,2,1,3,6,0,1
"236",1971,26850,2,10,4,2,1,4,4,0,0
"237",1968,51287,2,10,3,4,1,3,7,0,0
"238",1973,43050,1,10,2,2,0,4,5,0,0
"239",1969,73448,0,10,1,7,2,9,4,0,0
"240",1992,17256,1,10,2,2,1,2,8,1,0
"241",1961,86429,0,10,0,7,4,7,2,1,1
"242",1983,33569,1,10,1,1,1,2,8,1,1
"243",1980,25130,1,10,2,2,0,3,7,0,0
"244",1952,62998,1,10,5,5,4,5,5,0,0
"245",1976,26907,2,10,2,1,0,3,7,0,0
"246",1976,26907,2,10,2,1,0,3,7,0,0
"247",1948,45579,1,10,1,4,1,4,6,0,0
"248",1957,47320,1,10,6,5,1,8,6,0,0
"249",1976,70179,1,10,3,7,3,13,5,0,0
"250",1976,70179,1,10,3,7,3,13,5,0,0
"251",1986,28072,1,10,1,1,0,3,7,0,0
"252",1954,50501,2,10,7,5,4,4,6,1,1
"253",1969,58917,3,10,5,4,1,6,5,0,0
"254",1949,69372,0,10,1,10,4,6,4,2,1
"255",1971,35178,1,10,1,1,1,2,7,1,1
"256",1971,35178,1,10,1,1,1,2,7,1,1
"257",1968,75693,0,10,1,11,4,6,4,3,1
"258",1982,69109,0,10,1,6,6,7,4,1,1
"259",1982,69109,0,10,1,6,6,7,4,1,1
"260",1994,80134,0,11,1,2,7,11,5,4,0
"261",1970,64713,1,11,2,5,5,7,4,0,1
"262",1986,41411,0,11,1,2,1,4,6,0,0
"264",1955,55521,3,11,9,6,3,6,7,1,1
"265",1968,43795,1,11,3,7,3,4,7,1,1
"266",1970,22070,1,11,2,2,2,2,6,0,0
"267",1949,36408,2,11,1,1,0,2,6,0,0
"268",1950,34026,2,11,3,2,1,3,5,0,0
"269",1950,34026,2,11,3,2,1,3,5,0,0
"270",1976,46049,2,11,10,5,2,9,7,0,1
"271",1972,35641,1,11,2,3,1,4,7,0,1
"272",1984,32414,0,11,1,1,0,3,7,1,0
"273",1955,59821,1,11,6,11,2,7,8,0,0
"274",1980,34968,1,11,7,3,2,5,7,0,0
"275",1967,56320,1,11,3,5,4,9,4,0,0
"276",1969,70091,1,11,2,5,2,10,8,1,0
"277",1956,46097,1,11,5,3,1,6,4,0,0
"278",1963,41003,0,11,1,6,2,8,6,0,0
"279",1959,44911,1,11,3,4,1,4,7,0,0
"280",1975,33249,1,11,2,2,1,3,6,0,0
"281",1975,33249,1,11,2,2,1,3,6,0,0
"282",1950,42873,2,11,4,6,1,4,8,0,0
"283",1969,51039,2,11,2,6,2,4,7,0,0
"284",1958,78952,1,11,2,2,5,12,6,0,0
"285",1966,29435,2,11,4,3,2,2,9,0,1
"286",1954,79865,1,12,1,5,10,5,1,0,0
"287",1988,34176,1,12,4,3,0,4,6,0,0
"288",1988,34176,1,12,4,3,0,4,6,0,0
"289",1970,65968,1,12,2,5,4,7,3,0,0
"290",1956,86424,0,12,1,6,9,12,1,0,0
"291",1966,67272,1,12,3,6,2,12,5,0,0
"292",1957,78499,0,12,1,11,3,4,4,1,1
"293",1972,77044,1,12,2,7,11,11,4,1,0
"294",1993,70515,0,12,1,6,6,4,2,0,1
"295",1975,17459,1,12,3,3,1,2,7,0,1
"296",1970,80336,0,12,1,2,9,13,1,0,0
"297",1956,15759,0,12,1,1,0,2,7,0,0
"298",1976,26326,0,12,1,0,0,3,3,0,0
"299",1976,62061,1,12,3,10,4,7,6,1,0
"300",1976,5305,1,12,0,1,0,0,13,0,0
"301",1982,75777,0,12,1,3,6,11,1,2,1
"302",1982,75777,0,12,1,3,6,11,1,2,1
"303",1971,71499,1,12,2,8,3,13,4,0,0
"304",1978,31626,1,12,1,2,1,2,7,1,1
"305",1992,42670,0,12,1,4,2,4,4,0,0
"306",1973,83917,0,12,1,6,7,7,3,0,1
"307",1969,41021,1,12,2,2,0,3,6,0,1
"308",1956,79456,0,12,1,5,6,4,3,0,1
"309",1980,78789,0,12,1,4,6,5,2,0,1
"310",1952,50870,1,13,1,2,0,3,5,0,0
"311",1983,35876,0,13,1,3,1,3,6,0,0
"312",1957,23539,0,13,1,2,0,4,6,0,0
"313",1967,32557,1,13,3,2,1,3,5,0,1
"314",1970,62466,1,13,5,6,3,12,4,0,0
"315",1970,62466,1,13,5,6,3,12,4,0,0
"316",1966,54198,2,13,6,3,1,6,4,0,0
"317",1978,82170,0,13,1,5,6,7,2,0,0
"318",1964,61798,0,13,1,4,2,9,4,0,0
"319",1992,15253,1,13,2,1,0,3,7,0,0
"320",1988,78285,0,13,1,6,4,10,3,0,0
"321",1955,62535,1,13,1,3,2,8,3,0,0
"322",1973,27190,1,13,1,1,0,2,8,1,1
"323",1968,48985,1,13,1,1,1,3,3,0,0
"324",1970,72940,0,13,1,3,3,6,1,0,0
"325",1985,36145,1,13,4,4,1,3,9,1,1
"326",1977,157146,0,13,0,0,28,0,1,0,0
"327",1960,81843,0,13,1,5,9,12,3,0,0
"328",1988,41883,1,13,3,4,2,3,7,0,0
"329",1964,45759,2,13,2,2,0,3,7,0,0
"330",1964,45759,2,13,2,2,0,3,7,0,0
"331",1986,78394,0,13,1,4,6,5,2,0,1
"332",1989,30279,1,13,1,1,0,3,8,0,0
"333",1989,30279,1,13,1,1,0,3,8,0,0
"334",1970,31880,1,13,1,1,0,2,8,0,0
"335",1973,60208,2,13,11,8,3,7,7,1,1
"336",1983,78687,0,13,1,4,6,8,2,1,1
"337",1973,37401,1,14,2,2,0,3,7,0,0
"338",1973,37401,1,14,2,2,0,3,7,0,0
"339",1954,75315,1,14,2,5,4,12,2,0,0
"340",1965,69263,1,14,1,9,1,7,6,1,0
"341",1946,78569,0,14,1,4,6,4,1,1,1
"342",1966,57705,1,14,3,8,1,6,6,0,0
"343",1955,74805,1,14,5,4,7,10,2,0,0
"344",1961,66426,1,14,2,3,5,10,6,0,0
"345",1949,51529,1,14,2,9,1,5,8,0,0
"346",1946,18100,0,14,1,0,0,3,5,0,0
"347",1977,59601,1,14,4,2,2,7,8,1,0
"348",1977,20981,0,14,1,3,1,2,8,0,1
"349",1976,74068,0,14,1,4,10,9,2,0,0
"350",1983,36790,0,14,1,2,1,2,9,0,1
"351",1971,18793,1,14,3,2,0,4,8,0,0
"352",1954,27421,0,14,3,4,1,6,7,0,0
"353",1972,30675,1,14,1,1,0,3,8,0,0
"354",1974,83145,0,14,1,5,9,11,2,1,1
"355",1968,34053,1,14,1,3,0,3,8,0,0
"356",1983,31788,1,15,3,3,0,4,5,0,0
"357",1974,45894,2,15,1,1,0,3,5,0,0
"358",1978,41986,1,15,3,3,0,4,4,0,0
"359",1962,42769,1,15,2,1,1,4,4,0,0
"360",1982,58582,1,15,2,9,2,9,5,1,0
"361",1964,49096,2,15,4,4,1,4,7,0,0
"362",1980,76412,0,15,1,5,4,8,3,2,1
"363",1990,18929,0,15,1,1,0,4,6,0,0
"364",1990,18929,0,15,1,1,0,4,6,0,0
"365",1990,18929,0,15,1,1,0,4,6,0,0
"366",1986,21888,1,15,4,5,1,2,10,0,1
"367",1978,41580,2,15,3,2,1,3,5,0,0
"368",1979,31605,1,15,2,2,1,4,7,0,0
"369",1974,25509,1,15,3,3,0,3,9,0,1
"370",1974,25509,1,15,3,3,0,3,9,0,1
"371",1959,33051,0,15,3,9,1,8,9,0,1
"372",1966,28764,2,16,1,1,0,2,8,1,0
"373",1983,32146,1,16,2,2,0,4,6,0,0
"374",1983,22148,0,16,1,1,0,3,7,0,0
"375",1979,36781,1,16,1,2,1,2,8,0,1
"376",1960,54197,1,16,2,1,3,6,1,0,0
"377",1970,93790,0,16,0,6,7,12,2,3,1
"378",1972,24762,1,16,3,3,1,2,8,1,1
"379",1984,30477,1,16,1,1,1,3,6,0,0
"380",1975,11448,0,16,1,1,0,2,6,0,0
"381",1967,70844,2,16,5,6,1,5,7,0,0
"382",1980,30828,1,16,2,1,1,4,3,0,0
"383",1967,62513,1,16,2,6,4,10,6,0,0
"384",1981,27733,1,16,2,2,0,3,7,0,0
"385",1973,39435,1,16,1,3,1,2,7,0,0
"386",1970,75345,0,16,1,5,8,6,3,1,1
"387",1986,20491,0,16,1,0,1,2,7,0,0
"388",1971,36715,1,16,6,7,2,4,9,0,1
"389",1959,71706,1,16,4,9,5,7,5,0,0
"390",1966,69063,1,16,1,5,3,5,3,0,0
"391",1988,24645,1,16,1,1,0,2,8,0,0
"392",1975,35797,1,16,2,2,0,3,8,0,0
"393",1969,44078,2,17,2,2,0,3,5,0,0
"394",1971,26954,1,17,1,1,0,2,7,0,0
"396",1972,38887,1,17,1,1,0,3,7,0,0
"397",1974,65463,1,17,2,6,2,9,5,1,0
"398",1959,53537,2,17,2,2,1,3,5,0,0
"399",1971,36230,1,17,1,2,0,4,5,0,0
"400",1950,80763,0,17,1,5,11,6,3,2,1
"401",1971,60585,2,17,10,7,4,9,5,0,1
"402",1974,49166,1,17,2,5,3,3,6,0,0
"403",1955,75261,0,17,1,5,6,5,2,2,1
"404",1991,89891,0,17,1,11,6,8,4,1,0
"405",1962,72828,1,17,6,6,3,13,7,0,0
"406",1952,75278,0,17,1,6,3,13,3,0,0
"407",1978,38557,1,17,2,3,1,3,7,0,0
"408",1963,81300,1,17,3,10,3,5,5,1,1
"409",1965,60161,1,17,3,11,4,8,8,0,0
"410",1977,69389,1,17,1,7,2,12,4,0,0
"411",1954,64497,1,17,5,11,4,9,8,1,1
"412",1980,61014,1,17,4,9,3,4,7,0,0
"413",1975,44319,2,18,2,2,0,3,5,0,0
"414",1957,53233,1,18,1,1,0,3,4,0,0
"415",1954,77972,0,18,1,4,6,9,1,0,0
"416",1987,81361,0,18,1,3,10,13,1,0,0
"417",1987,81361,0,18,1,3,10,13,1,0,1
"418",1984,25707,1,18,1,1,0,3,7,0,0
"419",1971,42403,1,18,1,1,0,3,8,0,0
"420",1972,65704,0,18,1,2,10,10,1,0,0
"421",1980,37406,1,18,1,1,0,2,8,0,1
"422",1951,39767,0,18,2,7,1,7,8,0,0
"423",1979,54210,1,18,2,4,1,7,5,0,0
"424",1967,57136,0,18,1,7,5,7,6,0,1
"425",1975,40794,1,18,2,6,3,5,7,0,0
"426",1965,83003,0,18,1,7,6,8,3,1,1
"427",1960,89058,0,18,1,5,4,4,2,0,0
"428",1991,20193,0,18,1,1,1,4,4,0,0
"429",1974,72099,0,18,1,3,4,10,1,0,0
"430",1971,43824,2,18,4,3,1,4,8,0,0
"431",1975,66653,2,18,4,4,2,12,3,0,0
"432",1978,44359,2,19,3,2,0,4,3,0,0
"433",1961,79410,0,19,1,3,2,5,1,0,0
"434",1977,55842,1,19,1,7,1,8,5,0,0
"435",1966,79946,0,19,1,5,11,5,3,0,0
"436",1979,88194,1,19,1,11,10,10,5,2,1
"437",1944,80184,0,19,1,6,3,10,3,2,0
"438",1967,76982,0,19,1,8,3,4,4,1,1
"439",1980,65295,0,19,1,3,3,13,2,0,0
"440",1973,57100,0,19,1,3,3,6,3,0,0
"441",1981,29009,1,19,2,2,0,3,6,0,0
"442",1971,78931,0,19,1,2,8,13,1,0,0
"443",1975,7500,1,19,3,2,0,3,5,0,0
"444",1976,56939,1,19,2,3,3,10,3,0,0
"445",1990,64509,0,19,1,6,3,9,4,1,1
"446",1990,30093,0,19,1,2,0,3,7,0,0
"447",1974,30351,1,19,1,3,0,2,9,0,1
"448",1974,30351,1,19,1,3,0,2,9,0,0
"449",1960,38201,1,19,4,5,1,5,8,0,0
"451",1980,43974,1,19,5,6,4,6,7,0,0
"452",1970,38200,2,19,1,1,0,2,7,0,0
"453",1960,87305,0,19,1,5,3,8,2,1,1
"454",1961,16860,2,19,3,1,1,3,7,0,0
"455",1972,27213,1,19,3,2,0,4,8,0,1
"456",1976,7500,1,19,5,4,1,2,9,1,1
"457",1965,4861,0,20,0,0,0,0,14,0,0
