"","year_Birth","Income","kids","Recency","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp1","Response"
"458",1971,38196,2,20,3,2,0,4,5,0,0
"459",1950,41145,2,20,1,0,0,3,3,0,0
"460",1982,38513,1,20,5,6,1,5,8,0,1
"461",1968,45688,1,20,2,3,1,8,4,1,0
"462",1958,77863,0,20,1,4,5,10,2,0,0
"463",1969,42169,2,20,2,1,0,3,8,0,0
"464",1964,45906,1,20,2,5,4,4,5,1,0
"465",1988,35388,1,20,1,1,0,3,7,0,0
"466",1969,80952,0,20,1,8,5,11,8,3,1
"467",1954,39898,1,20,2,3,0,4,7,0,0
"468",1954,39898,1,20,2,3,0,4,7,0,0
"469",1973,44051,2,20,4,3,1,4,6,0,1
"470",1954,86718,0,20,1,5,6,5,2,0,0
"471",1986,80141,0,20,1,7,4,10,6,1,1
"472",1976,58597,2,20,12,7,4,9,7,0,0
"473",1945,70356,0,20,2,10,6,9,6,0,0
"474",1967,46904,2,20,4,5,1,4,8,0,0
"475",1946,37760,0,20,2,4,1,6,7,0,0
"476",1946,37760,0,20,2,4,1,6,7,0,0
"477",1964,61839,0,20,1,4,8,4,8,0,0
"478",1972,29791,1,21,2,2,0,3,5,0,0
"479",1963,48918,2,21,2,1,0,4,4,0,0
"480",1963,48918,2,21,2,1,0,4,4,0,0
"481",1965,58692,1,21,1,8,2,4,7,0,0
"482",1976,39356,2,21,1,1,0,2,6,1,0
"483",1972,76234,1,21,1,8,3,11,3,1,0
"484",1984,55434,1,21,3,5,3,13,4,0,0
"485",1946,66835,0,21,1,6,4,13,2,0,0
"486",1946,66835,0,21,1,6,4,13,2,0,0
"487",1951,71965,1,21,3,6,3,5,3,0,0
"488",1971,74538,0,21,1,8,8,5,3,1,1
"489",1954,50002,1,21,2,8,2,7,7,0,0
"490",1958,53977,1,21,5,5,5,12,5,0,0
"491",1958,53977,1,21,5,5,5,12,5,0,0
"492",1971,69930,0,21,1,4,5,12,3,0,0
"493",1967,62981,0,21,1,4,5,13,3,1,0
"494",1974,46014,2,21,10,7,1,8,7,0,0
"495",1987,18227,1,21,1,0,1,2,8,0,0
"496",1976,65991,1,21,3,9,5,10,7,0,0
"497",1972,38808,1,21,4,5,1,4,8,1,1
"498",1982,160803,0,21,15,0,28,1,0,0,0
"499",1978,43783,1,22,6,7,1,8,7,1,0
"500",1969,30396,1,22,2,1,1,2,7,1,1
"501",1964,65526,1,22,1,4,4,8,2,0,0
"502",1964,65526,1,22,1,4,4,8,2,0,0
"503",1944,55956,0,22,2,7,3,4,4,1,0
"504",1978,55563,1,22,1,2,0,3,3,0,0
"505",1965,57236,2,22,3,2,1,4,3,0,0
"506",1973,89694,2,22,3,4,3,4,5,3,0
"507",1971,57420,1,22,3,5,1,6,7,1,0
"508",1972,33622,2,22,3,2,0,4,7,0,0
"509",1986,29999,1,22,4,3,1,4,8,0,0
"510",1962,31497,1,22,2,3,1,4,8,0,0
"511",1962,31497,1,22,2,3,1,4,8,0,0
"512",1980,36802,1,23,1,1,0,3,5,0,0
"513",1968,61671,1,23,8,10,4,6,8,2,0
"514",1893,60182,1,23,1,1,0,2,4,0,0
"515",1971,29732,1,23,1,2,0,2,9,0,0
"516",1986,45921,0,23,1,2,1,6,4,0,0
"517",1984,16529,1,23,1,1,0,3,6,0,0
"518",1960,98777,0,23,0,4,6,9,1,1,0
"519",1960,98777,0,23,0,4,6,9,1,1,0
"520",1952,77027,1,23,2,8,3,6,4,0,0
"521",1965,69139,1,23,1,4,1,5,4,0,0
"522",1965,69139,1,23,1,4,1,5,4,0,0
"523",1982,65169,0,23,1,10,4,13,6,4,1
"524",1952,40049,1,23,1,1,0,3,6,0,0
"525",1945,69755,0,23,1,3,6,12,1,0,0
"527",1961,54456,1,23,3,6,1,7,6,0,0
"528",1977,666666,1,23,4,3,1,3,6,0,0
"529",1951,60689,1,23,4,4,4,10,3,0,0
"530",1978,26487,1,23,3,2,1,3,5,0,0
"531",1970,28164,1,23,3,2,0,4,7,0,0
"532",1970,22585,0,23,1,1,1,2,9,1,1
"533",1971,64795,1,23,3,3,3,12,2,0,0
"534",1987,42000,0,23,2,5,2,11,5,0,1
"535",1987,42000,0,23,2,5,2,11,5,0,1
"536",1966,70713,1,23,6,5,6,8,3,0,0
"537",1946,82800,0,23,1,7,6,12,3,2,1
"538",1946,82800,0,23,1,7,6,12,3,2,1
"539",1975,30801,1,23,2,1,0,3,7,0,0
"540",1974,83891,1,24,1,4,7,10,1,0,0
"541",1950,38054,2,24,2,2,0,3,7,0,0
"542",1969,14045,1,24,1,1,0,3,7,0,0
"543",1957,44155,2,24,1,1,1,2,4,0,0
"544",1970,57642,1,24,3,7,6,6,4,1,0
"545",1977,31353,2,24,2,1,1,2,8,0,0
"546",1977,31353,2,24,2,1,1,2,8,0,1
"547",1968,41335,1,24,3,4,1,4,7,0,0
"548",1968,41335,1,24,3,4,1,4,7,0,0
"549",1957,40737,3,24,1,1,0,2,8,0,0
"550",1975,19789,1,24,3,2,1,3,5,1,0
"551",1949,35946,2,24,1,0,0,3,5,0,0
"552",1983,36262,0,24,1,3,5,3,6,1,1
"553",1954,44551,1,24,2,4,1,5,7,0,0
"554",1959,71367,0,24,1,4,5,7,2,0,0
"555",1959,71367,0,24,1,4,5,7,2,0,0
"556",1959,57957,1,24,7,4,6,8,3,0,0
"557",1972,50334,1,24,6,7,4,6,6,0,0
"558",1949,48150,1,24,3,5,1,4,7,0,0
"559",1969,56796,1,24,3,8,9,7,7,0,0
"560",1969,56796,1,24,3,8,9,7,7,0,0
"561",1963,52278,1,24,6,10,5,10,8,0,1
"562",1963,52278,1,24,6,10,5,10,8,0,0
"563",1996,7500,0,24,3,3,1,3,9,0,1
"564",1952,33444,2,24,1,1,0,2,8,0,0
"565",1973,20895,1,24,1,2,0,3,9,0,0
"566",1976,37509,1,24,2,3,0,4,7,0,0
"567",1978,88097,1,24,1,6,5,8,9,3,1
"568",1973,59041,2,25,2,2,0,4,5,0,0
"569",1974,43322,0,25,1,3,0,4,7,0,0
"570",1955,46015,2,25,1,1,0,3,7,2,0
"571",1955,46015,2,25,1,1,0,3,7,2,0
"572",1959,34242,1,25,1,0,0,3,5,0,0
"573",1955,65210,1,25,2,9,3,8,6,2,0
"574",1958,50520,1,25,2,3,1,3,6,0,0
"575",1970,90765,0,25,0,4,6,5,1,2,0
"576",1944,80589,0,25,1,5,10,5,1,1,1
"577",1958,49572,2,25,2,2,0,3,7,0,0
"578",1978,75437,0,25,1,8,4,10,6,1,0
"579",1971,44635,2,25,2,2,0,3,7,0,0
"580",1964,58512,1,25,5,3,4,8,8,0,0
"581",1952,62000,1,25,1,6,6,13,4,1,0
"582",1956,54252,2,25,5,4,1,5,6,0,0
"583",1974,45068,1,25,1,1,0,2,7,0,0
"584",1979,60474,1,25,7,10,2,12,7,0,0
"585",1979,60474,1,25,7,10,2,12,7,0,0
"586",1981,56337,2,25,5,8,5,4,8,2,1
"587",1987,22434,1,25,2,2,0,3,8,0,0
"588",1982,61416,0,25,1,10,3,10,6,1,0
"589",1975,92163,0,25,0,5,11,5,2,2,1
"590",1956,58656,1,25,4,7,8,13,6,1,0
"592",1986,8940,1,25,3,3,1,3,8,0,0
"593",1974,26751,2,26,1,1,0,2,8,0,0
"594",1978,71427,2,26,2,8,2,8,4,0,0
"595",1984,26646,1,26,2,2,0,4,6,0,0
"596",1974,19346,1,26,1,1,0,3,8,0,0
"597",1975,56243,3,26,6,4,2,8,5,0,0
"598",1970,59892,1,26,1,2,1,3,3,0,0
"599",1965,71613,0,26,1,8,2,10,4,0,0
"600",1986,25252,1,26,1,1,0,2,8,0,0
"601",1975,42160,2,26,4,2,1,4,6,0,1
"602",1979,15862,1,26,1,1,0,3,8,0,0
"603",1974,82584,0,26,1,3,4,8,1,2,1
"604",1989,38360,1,26,2,2,1,4,3,0,0
"605",1957,75283,3,26,11,6,3,5,4,0,0
"606",1956,34941,2,26,2,3,0,3,8,0,0
"607",1952,61823,1,26,4,8,2,10,7,0,0
"608",1956,90226,0,26,1,4,7,12,2,1,0
"609",1974,44989,1,26,5,5,1,5,6,0,0
"610",1974,44989,1,26,5,5,1,5,6,0,0
"611",1980,43586,1,26,3,3,0,4,8,0,0
"612",1974,32233,1,26,2,6,2,2,9,1,1
"613",1969,62882,1,26,2,7,5,6,4,0,0
"614",1963,57288,1,27,3,8,1,8,6,1,0
"615",1981,75774,1,27,1,7,5,8,4,0,0
"616",1981,75774,1,27,1,7,5,8,4,0,0
"617",1988,90247,0,27,1,3,4,7,1,3,1
"618",1960,32218,0,27,1,2,1,3,7,1,1
"619",1988,84219,0,27,1,3,4,10,1,0,0
"620",1988,84219,0,27,1,3,4,10,1,0,0
"621",1966,48877,1,27,1,3,0,4,7,0,0
"622",1950,60905,1,27,2,3,3,7,2,0,0
"623",1964,75236,1,27,1,8,3,13,4,0,0
"624",1953,62551,0,27,1,6,7,4,3,1,0
"625",1983,70123,0,27,1,5,7,4,3,2,0
"626",1962,50785,2,27,2,2,1,3,6,0,0
"627",1970,15315,0,27,2,2,0,4,5,0,0
"628",1970,15315,0,27,2,2,0,4,5,0,0
"629",1970,64413,1,27,1,5,1,5,5,0,0
"630",1981,87171,0,27,1,6,7,11,2,2,0
"631",1961,30081,1,27,1,1,0,3,7,0,0
"632",1976,20180,0,27,1,2,1,4,7,0,0
"633",1976,20180,0,27,1,2,1,4,7,0,0
"634",1966,55686,1,27,2,6,3,5,4,1,0
"635",1959,26887,1,27,1,1,0,3,6,0,0
"636",1977,61996,1,27,3,6,4,8,5,3,1
"637",1952,51537,1,27,3,2,2,11,8,0,0
"638",1962,72025,0,27,1,4,3,8,3,0,0
"639",1971,30538,1,27,4,9,0,4,10,0,0
"640",1991,61618,0,27,2,3,6,8,3,0,0
"641",1965,77343,0,28,1,3,4,9,1,0,0
"642",1989,75433,1,28,2,2,5,10,6,2,0
"643",1962,82571,0,28,0,6,5,13,2,1,0
"644",1954,60033,1,28,2,2,1,5,2,0,0
"645",1983,39062,1,28,1,1,0,3,4,1,0
"646",1972,30023,1,28,1,2,0,3,8,0,0
"647",1970,30015,1,28,2,1,0,4,5,0,0
"648",1980,33228,1,28,1,2,0,3,7,0,0
"649",1967,22574,3,28,2,2,0,3,7,0,0
"650",1967,22574,3,28,2,2,0,3,7,0,0
"651",1957,55267,1,28,4,3,4,6,3,0,0
"652",1958,66886,1,28,2,7,1,7,5,0,0
"653",1971,72258,1,28,2,6,9,5,2,0,0
"654",1984,82733,0,28,1,8,4,7,4,0,1
"655",1963,45146,2,28,2,1,1,2,4,0,0
"656",1990,51250,1,28,5,10,5,4,9,1,0
"657",1951,32871,2,28,1,1,0,3,4,0,0
"658",1978,63855,0,28,1,7,3,13,4,0,0
"659",1968,42564,1,28,6,6,8,4,7,1,1
"660",1972,46344,1,28,4,7,1,5,7,0,0
"661",1963,50437,2,28,3,7,1,8,7,0,0
"662",1960,70971,1,28,7,11,11,5,7,0,1
"663",1977,37774,2,28,4,7,2,3,9,1,1
"664",1963,4023,2,29,15,0,0,0,19,0,0
"665",1966,33279,0,29,1,0,0,3,3,0,0
"666",1978,42693,1,29,1,1,0,3,5,0,0
"667",1952,70545,1,29,1,4,1,7,2,0,0
"668",1957,65486,1,29,1,4,2,10,2,0,0
"669",1981,77882,0,29,1,3,3,5,1,0,0
"670",1960,78468,0,29,1,10,7,10,4,1,0
"671",1963,77226,1,29,2,6,8,12,3,0,0
"672",1991,90638,0,29,1,3,4,10,1,1,0
"673",1991,90638,0,29,1,3,4,10,1,1,1
"674",1948,70666,0,29,1,7,4,4,4,0,0
"675",1959,59052,1,29,3,7,1,7,5,0,0
"676",1952,13084,0,29,1,1,0,3,6,0,0
"677",1949,49160,1,29,2,3,1,6,6,0,0
"678",1953,23272,0,29,1,1,0,3,4,0,0
"679",1963,49476,1,29,4,2,11,5,2,0,0
"680",1965,62694,2,29,5,9,3,7,7,0,0
"681",1973,57906,1,29,3,4,2,8,4,0,0
"682",1982,71853,0,29,1,2,8,6,1,0,0
"683",1982,71853,0,29,1,2,8,6,1,0,0
"684",1959,65031,1,29,4,10,3,13,7,0,0
"685",1960,30507,0,29,1,5,1,4,7,0,0
"686",1970,67419,1,29,4,9,4,8,5,0,0
"687",1950,59462,1,29,2,9,2,12,7,0,0
"688",1994,95529,0,29,1,7,3,7,3,1,1
"689",1953,53653,0,29,2,10,4,12,6,0,0
"690",1980,25965,0,29,1,2,0,3,8,0,0
"691",1970,22979,1,29,3,3,2,2,8,0,1
"692",1951,64950,1,29,2,11,2,10,7,1,0
"693",1985,44322,1,30,2,3,0,3,8,0,0
"694",1983,30096,1,30,1,2,0,3,6,0,0
"695",1983,30096,1,30,1,2,0,3,6,0,0
"696",1977,56628,1,30,2,7,6,5,5,1,0
"697",1977,82326,0,30,1,5,10,6,2,3,1
"698",1995,71163,0,30,1,3,8,12,1,0,0
"699",1978,71022,1,30,3,5,2,11,8,1,0
"700",1954,42607,1,30,2,3,2,7,3,0,0
"701",1975,43057,1,30,4,4,2,5,5,0,0
"702",1975,47808,1,30,2,3,2,3,7,1,0
"703",1987,29236,1,30,2,4,0,3,9,0,0
"704",1969,40590,2,30,5,3,4,3,6,1,0
"705",1969,40590,2,30,5,3,4,3,6,1,0
"706",1959,77520,1,30,1,8,7,7,4,3,1
"707",1981,40211,2,30,2,2,1,2,8,1,0
"708",1973,63516,2,30,4,4,1,7,5,0,0
"709",1974,53034,2,30,8,6,1,7,8,0,0
"710",1975,22669,1,30,3,4,1,2,9,0,1
"711",1982,79908,0,30,1,5,6,7,2,1,0
"712",1986,69867,0,30,1,3,5,8,1,1,1
"713",1966,70287,0,30,1,5,5,10,3,0,1
"714",1966,37070,2,30,9,5,1,8,7,0,1
"715",1966,37070,2,30,9,5,1,8,7,0,1
"716",1966,38179,2,30,4,3,1,3,7,0,0
"717",1983,39922,1,30,2,3,0,4,8,0,0
"718",1983,39922,1,30,2,3,0,4,8,0,0
"719",1983,39922,1,30,2,3,0,4,8,0,0
"720",1963,64191,1,30,3,5,3,13,3,0,0
"721",1975,41658,2,30,2,1,1,2,4,0,0
"722",1976,40780,1,30,4,7,1,5,9,0,0
"723",1979,77568,1,30,1,10,2,8,5,3,0
"724",1985,66503,1,30,2,4,3,6,3,0,0
"725",1986,83512,0,31,1,4,7,10,1,4,1
"726",1964,31686,2,31,2,1,0,3,6,0,0
"727",1976,71322,1,31,1,4,1,7,2,0,0
"728",1988,27938,1,31,1,1,0,4,3,0,0
"729",1951,22263,2,31,2,1,0,3,6,0,0
"730",1956,34633,3,31,1,1,0,2,6,0,0
"731",1981,42162,1,31,2,3,1,3,6,1,1
"732",1976,162397,2,31,0,0,0,1,1,0,0
"733",1978,54162,2,31,1,1,0,3,4,0,0
"734",1955,41769,1,31,6,8,1,7,8,0,0
"735",1981,44953,0,31,1,7,3,13,6,1,0
"736",1978,37717,1,31,1,1,0,2,9,0,0
"737",1978,37717,1,31,1,1,0,2,9,0,0
"738",1970,40548,1,31,2,2,1,4,5,1,0
"739",1975,67893,1,31,2,3,2,9,8,0,0
"740",1953,69267,0,31,2,3,4,5,7,0,1
"741",1976,9548,1,31,2,1,0,3,8,0,0
"742",1958,68281,0,31,1,2,9,13,5,0,1
"743",1960,92556,0,32,0,3,5,13,0,0,0
"744",1979,48526,1,32,1,2,1,4,3,0,0
"745",1991,90273,0,32,1,5,6,7,2,3,1
"746",1981,19414,1,32,1,1,0,3,8,0,0
"747",1958,79761,1,32,1,5,2,11,3,0,0
"748",1951,53312,0,32,1,5,1,5,7,0,0
"749",1982,41039,0,32,1,8,1,5,8,0,0
"750",1961,88347,0,32,1,4,7,9,1,1,0
"751",1983,50150,0,32,2,5,2,7,5,0,0
"752",1983,50150,0,32,2,5,2,7,5,0,0
"753",1971,10245,1,32,3,1,2,2,5,0,0
"754",1985,33454,1,32,2,4,0,4,8,0,0
"755",1952,40887,2,32,3,3,1,3,9,0,1
"756",1975,55914,1,32,4,11,6,8,7,0,0
"757",1983,37292,1,32,5,6,3,5,8,0,0
"758",1971,52914,1,32,2,7,3,3,7,1,0
"759",1972,24884,1,32,1,0,0,3,7,0,0
"760",1970,67384,1,32,2,7,8,5,5,1,0
"761",1960,51651,1,32,4,6,2,5,8,0,0
"762",1980,82497,0,32,1,2,7,9,4,1,0
"763",1963,32632,0,32,2,4,4,8,5,0,0
"764",1963,33562,3,33,3,2,0,4,4,0,0
"765",1967,79146,2,33,2,8,1,8,6,0,0
"766",1967,79146,2,33,2,8,1,8,6,0,0
"767",1981,36143,1,33,1,0,1,2,3,0,0
"768",1973,27159,2,33,2,1,0,3,6,0,0
"769",1960,41275,3,33,4,3,1,3,5,0,0
"770",1965,76800,0,33,1,4,4,7,1,0,0
"771",1987,75794,0,33,1,7,5,12,3,1,0
"772",1951,30833,2,33,2,1,0,3,5,0,0
"773",1949,26518,2,33,3,2,0,3,8,0,1
"774",1981,91065,0,33,1,7,9,9,3,2,1
"775",1962,45183,0,33,1,4,1,7,7,1,0
"776",1950,48070,1,33,3,8,2,6,7,0,0
"777",1971,30372,2,33,3,2,0,3,7,0,0
"778",1971,30372,2,33,3,2,0,3,7,0,0
"779",1975,57036,1,33,4,6,3,13,9,1,0
"780",1970,66731,1,33,4,4,3,6,3,0,0
"781",1970,35682,1,34,1,1,1,3,2,0,0
"782",1989,10979,0,34,2,3,0,3,5,0,0
"783",1989,10979,0,34,2,3,0,3,5,0,0
"784",1965,57912,1,34,5,8,3,12,5,1,0
"785",1972,36026,3,34,2,2,0,3,6,0,0
"786",1971,35788,2,34,2,2,0,3,6,0,0
"787",1959,42243,2,34,2,2,0,3,7,0,0
"788",1956,46086,1,34,4,3,1,8,4,0,0
"789",1978,61346,1,34,1,5,7,10,3,0,0
"790",1971,33316,2,34,3,2,1,4,6,0,0
"791",1971,33316,2,34,3,2,1,4,6,0,0
"792",1987,21063,1,34,2,2,0,3,6,0,0
"793",1970,33697,1,34,1,1,0,2,7,1,0
"794",1978,25804,1,34,2,2,0,3,8,0,0
"795",1977,72117,1,34,1,9,7,9,5,0,0
"796",1966,61286,1,34,2,7,1,8,5,0,0
"797",1966,61286,1,34,2,7,1,8,5,0,0
"798",1958,65196,2,34,2,7,6,11,5,1,0
"799",1971,55635,1,34,4,7,3,7,6,0,0
"800",1981,42021,1,34,5,10,1,6,9,1,0
"801",1972,75251,0,34,1,7,6,5,5,0,1
"802",1968,35322,3,34,3,2,0,4,8,0,0
"803",1969,53374,1,34,6,4,2,9,9,1,1
"804",1959,87195,0,35,1,3,11,5,1,0,1
"805",1981,42395,2,35,4,3,1,4,7,0,0
"806",1966,82427,0,35,1,3,5,12,1,1,0
"807",1969,44602,2,35,6,6,1,4,8,0,0
"808",1951,94642,0,35,0,5,7,9,1,2,0
"809",1983,28359,1,35,1,1,0,2,7,0,0
"810",1975,55801,2,35,6,7,2,6,7,1,0
"811",1973,92955,0,35,1,6,7,9,2,2,1
"812",1968,56534,1,35,4,10,4,7,8,2,1
"813",1962,69627,1,35,2,8,2,11,5,0,0
"814",1970,78579,0,35,1,5,6,4,3,0,1
"815",1980,44964,2,35,1,1,0,3,8,0,0
"816",1974,30899,1,35,2,1,0,3,6,0,0
"817",1964,78825,0,35,1,5,10,13,3,0,1
"818",1987,25545,1,35,3,2,2,3,6,0,1
"819",1971,47111,1,35,6,3,2,10,9,0,0
"820",1955,49667,0,35,2,5,10,5,8,1,1
"821",1947,66000,0,36,1,1,3,5,1,0,0
"822",1964,46910,2,36,2,2,0,3,6,0,0
"823",1972,25224,1,36,2,1,1,3,3,0,0
"824",1968,77382,1,36,2,5,7,12,1,1,0
"825",1967,28420,1,36,1,1,0,2,6,0,0
"826",1977,32952,1,36,1,2,0,3,7,0,0
"827",1975,46149,1,36,5,5,1,7,5,0,0
"828",1899,83532,0,36,1,4,6,4,1,1,0
"829",1947,73059,1,36,1,9,3,13,4,0,0
"830",1947,73059,1,36,1,9,3,13,4,0,0
"831",1959,35701,0,36,1,1,0,3,6,0,0
"832",1983,89616,0,36,1,7,5,12,2,0,1
"833",1970,105471,0,36,0,9,8,13,3,2,1
"834",1948,78427,0,36,3,3,7,10,3,1,1
"835",1986,22518,1,36,2,2,1,2,5,1,1
"836",1976,59809,2,36,3,3,3,6,8,0,0
"837",1982,39660,1,36,3,7,1,3,9,0,1
"838",1950,52203,0,36,1,8,7,11,6,0,0
"839",1973,35860,2,37,2,1,1,2,5,1,1
"840",1973,35860,2,37,2,1,1,2,5,1,0
"841",1973,35860,2,37,2,1,1,2,5,1,0
"842",1973,35860,2,37,2,1,1,2,5,1,1
"843",1950,76842,0,37,1,1,8,7,0,0,0
"844",1951,15033,0,37,1,1,0,3,3,0,0
"845",1970,67353,1,37,5,5,6,12,2,0,0
"846",1975,17003,1,37,3,2,0,4,5,0,0
"847",1965,65735,2,37,5,6,2,6,7,0,0
"848",1971,45684,1,37,1,1,0,2,7,0,0
"849",1969,21918,1,37,2,2,0,3,6,0,0
"850",1978,51267,2,37,4,3,3,5,4,0,0
"851",1972,59868,1,37,7,11,2,12,6,0,0
"852",1991,51373,0,37,1,3,5,3,4,0,0
"853",1958,46692,1,37,3,6,1,5,6,0,0
"854",1971,157733,1,37,0,1,0,1,1,0,0
"855",1950,54432,3,37,1,1,0,3,4,0,0
"856",1984,79607,0,37,1,3,6,6,1,0,1
"857",1972,51813,2,37,2,2,0,3,7,0,0
"858",1989,17487,1,37,1,1,0,2,7,0,0
"859",1968,40706,3,37,4,3,0,4,7,0,0
"860",1959,62859,1,37,4,9,4,6,6,0,0
"861",1958,61074,1,37,7,11,5,8,7,0,0
"862",1969,43638,1,37,2,4,1,4,7,0,0
"863",1956,58116,1,38,2,3,3,8,2,0,0
"864",1969,62187,1,38,3,6,2,10,4,0,0
"865",1954,46344,2,38,2,1,1,2,5,0,0
"866",1980,77353,1,38,2,6,4,8,4,0,0
"867",1966,69759,0,38,3,4,6,5,3,0,1
"868",1986,21846,1,38,4,4,0,3,8,0,0
"869",1975,76532,2,38,4,9,5,7,5,0,0
"870",1965,70053,1,38,3,8,5,10,5,0,0
"871",1958,75342,1,38,1,5,2,10,4,0,0
"872",1982,27590,1,38,1,1,0,2,7,0,0
"873",1973,51148,2,38,4,5,1,6,6,0,0
"874",1963,33378,2,38,3,2,0,4,7,0,0
"875",1973,32644,1,38,4,7,1,6,8,1,0
"876",1969,33581,2,38,1,1,0,2,8,0,0
"877",1978,12393,0,38,1,2,0,3,9,0,0
"878",1984,42710,1,38,2,4,5,3,6,0,0
"879",1957,82347,0,38,1,7,7,10,3,2,0
"880",1957,82347,0,38,1,7,7,10,3,2,1
"881",1955,22554,2,38,4,2,0,4,5,0,0
"882",1987,17323,0,38,1,1,0,3,8,0,0
"883",1960,62204,2,38,1,4,5,12,3,0,0
"884",1956,78028,1,38,1,6,4,9,7,2,1
"885",1962,63887,1,38,5,9,6,12,6,0,0
"886",1965,32727,0,38,2,7,3,5,8,0,0
"887",1985,29103,1,38,2,1,0,3,9,0,0
"888",1965,61482,0,39,1,3,2,6,2,0,0
"889",1970,20587,1,39,1,1,1,2,7,0,0
"890",1970,20587,1,39,1,1,1,2,7,0,0
"891",1976,52190,2,39,3,2,1,3,5,1,0
"892",1974,48186,1,39,3,4,1,4,7,0,0
"893",1968,19329,1,39,3,4,0,3,8,0,0
"894",1971,34109,1,39,1,0,0,3,4,0,0
"895",1986,23477,1,39,3,3,0,4,8,0,0
"896",1966,47472,2,39,2,2,0,4,5,0,0
"897",1976,14849,1,39,3,2,0,4,8,0,0
"898",1978,26224,1,39,3,2,1,3,6,0,0
"899",1962,27238,2,39,3,3,0,3,9,0,0
"901",1962,57967,1,39,5,4,2,8,5,0,0
"902",1949,51569,1,39,4,7,1,7,8,1,1
"903",1954,72550,2,39,9,5,2,12,8,0,0
"904",1970,44511,1,39,6,8,4,8,8,0,0
"905",1955,62972,1,39,2,7,4,3,6,0,1
"906",1955,62972,1,39,2,7,4,3,6,0,0
"907",1989,77845,0,40,1,3,5,12,1,2,0
"908",1975,36663,1,40,1,1,1,3,2,0,0
